OPEN,HIGH,LOW,CLOSE,UPDOWN
15.48,16.91,14.31,16.08,1.0
15.68,18.38,15.6,17.9,1.0
18.5,21.32,18.2,20.6,-1.0
21.21,22.5,19.8,20.62,-1.0
20.8,20.83,18.38,18.7,1.0
18.48,19.8,18.31,19.02,-1.0
19.18,19.18,18.55,18.75,-1.0
18.48,18.8,17.2,17.27,1.0
17.3,18.1,17.1,17.67,-1.0
17.8,17.96,16.6,16.78,1.0
16.7,17.26,16.4,17.15,1.0
17.2,17.8,16.47,17.4,1.0
17.8,19.3,17.8,18.9,-1.0
18.48,19.29,18.0,18.28,-1.0
18.1,18.3,17.32,17.8,0.0
18.0,18.0,17.44,18.0,-1.0
18.0,18.0,17.4,17.56,1.0
17.5,17.9,17.49,17.8,-1.0
18.0,18.0,17.5,17.6,1.0
17.8,18.0,17.6,17.89,1.0
18.18,18.8,18.1,18.7,-1.0
19.3,19.35,18.1,18.6,1.0
18.2,18.57,18.18,18.25,0.0
18.25,18.25,17.95,18.25,1.0
18.25,18.5,18.2,18.35,-1.0
18.4,19.1,18.1,18.27,-1.0
18.52,18.65,18.28,18.38,1.0
18.4,19.0,18.4,18.85,-1.0
19.0,19.1,18.6,18.8,1.0
18.5,19.49,18.5,19.49,-1.0
19.95,20.0,19.1,19.8,1.0
19.9,20.05,19.25,20.0,0.0
20.0,20.0,20.0,20.0,1.0
19.3,20.2,18.0,19.8,-1.0
19.6,19.78,18.88,19.22,1.0
19.6,21.3,19.5,20.95,-1.0
21.5,21.5,20.3,20.4,-1.0
20.3,20.38,19.6,19.75,1.0
12.01,12.55,12.0,12.35,1.0
12.44,14.15,12.4,13.66,-1.0
13.66,13.9,12.9,13.15,1.0
13.1,13.49,13.01,13.34,-1.0
12.9,13.0,12.3,12.45,1.0
12.41,12.85,12.32,12.68,-1.0
12.7,12.87,12.3,12.45,-1.0
12.55,12.55,11.92,12.0,-1.0
12.28,12.45,12.0,12.22,-1.0
12.3,12.35,12.1,12.27,1.0
12.35,12.8,12.2,12.68,-1.0
12.8,12.89,12.48,12.65,1.0
12.6,13.18,12.5,13.15,1.0
13.52,14.0,13.5,14.0,1.0
13.85,14.35,13.7,13.86,-1.0
14.0,14.4,13.71,13.96,1.0
13.96,15.3,13.7,15.1,1.0
15.0,15.49,14.71,15.15,-1.0
15.2,15.93,13.9,13.95,1.0
13.7,14.0,13.18,13.99,1.0
14.01,14.26,13.98,14.2,-1.0
14.3,14.49,13.7,14.0,-1.0
13.9,13.99,13.6,13.7,1.0
13.4,14.0,13.2,13.9,-1.0
14.05,14.28,13.68,13.8,-1.0
13.8,14.0,13.4,13.58,1.0
13.55,14.0,13.5,13.98,1.0
14.2,14.7,14.05,14.5,1.0
14.55,15.0,14.55,14.85,-1.0
15.0,15.2,14.5,14.86,0.0
15.0,15.0,14.7,15.0,1.0
15.1,15.9,14.99,15.5,1.0
15.6,16.2,15.59,16.08,-1.0
16.2,16.5,15.3,15.66,-1.0
15.4,15.6,14.75,14.75,0.0
13.3,13.3,13.3,13.3,0.0
11.97,11.97,11.97,11.97,1.0
10.77,13.1,10.77,12.97,-1.0
13.1,13.3,11.67,11.67,-1.0
11.12,11.48,10.5,10.5,1.0
11.0,11.5,10.48,11.08,-1.0
11.3,11.5,10.58,10.58,1.0
10.65,11.05,10.02,10.91,-1.0
11.1,11.28,10.85,11.08,1.0
11.5,11.59,11.02,11.58,1.0
11.79,12.5,11.63,12.5,-1.0
12.5,12.6,11.83,11.9,1.0
11.79,12.2,11.75,11.91,-1.0
12.0,12.0,11.5,11.54,-1.0
11.3,11.54,10.95,11.01,1.0
10.8,11.38,10.68,11.29,1.0
11.3,11.68,11.2,11.4,-1.0
11.5,11.55,11.3,11.43,-1.0
11.56,11.58,11.3,11.45,1.0
11.55,11.74,11.5,11.73,-1.0
12.0,12.05,11.55,11.56,1.0
11.4,11.68,11.4,11.49,1.0
11.61,11.75,11.41,11.7,1.0
11.68,11.9,11.61,11.88,1.0
11.98,12.09,11.8,12.08,-1.0
12.1,12.1,11.86,11.95,1.0
11.98,12.3,11.88,12.29,1.0
12.26,12.47,12.11,12.36,-1.0
12.35,12.35,12.0,12.26,1.0
12.26,12.5,12.2,12.39,1.0
12.3,12.5,12.15,12.32,1.0
12.3,12.45,12.2,12.36,1.0
12.36,12.69,12.36,12.59,1.0
12.6,12.9,12.5,12.85,-1.0
12.95,13.0,12.75,12.8,-1.0
12.8,12.8,11.53,11.53,1.0
11.54,12.38,11.5,12.36,1.0
11.12,12.18,11.12,12.0,1.0
12.1,12.38,12.05,12.37,-1.0
12.48,12.57,12.39,12.4,1.0
12.5,12.8,12.45,12.7,1.0
12.6,13.05,12.5,13.05,1.0
13.1,13.39,12.93,13.37,1.0
13.35,13.55,12.87,13.49,-1.0
13.7,14.0,13.6,13.69,1.0
13.65,14.25,13.65,14.09,-1.0
14.09,14.15,13.4,13.6,1.0
13.41,13.7,13.28,13.63,-1.0
13.7,13.79,13.45,13.55,1.0
13.57,13.65,13.48,13.59,1.0
13.55,14.5,13.4,14.47,1.0
14.54,14.99,14.28,14.95,-1.0
15.1,15.2,14.41,14.64,-1.0
14.55,14.6,14.28,14.53,1.0
14.65,15.08,14.45,15.04,1.0
14.92,15.49,14.7,15.15,-1.0
15.2,15.2,14.8,14.93,-1.0
15.0,15.1,14.35,14.38,1.0
14.23,14.6,14.11,14.53,-1.0
14.69,14.8,14.55,14.65,1.0
14.75,15.03,14.31,14.94,-1.0
