OPEN,HIGH,LOW,CLOSE,UPDOWN
28.8,33.4,28.51,31.44,1.0
30.58,32.12,30.1,31.99,-1.0
33.2,33.7,31.85,32.39,1.0
32.2,33.96,31.65,33.17,1.0
32.93,33.6,32.5,33.31,-1.0
33.5,34.16,32.98,33.05,-1.0
32.9,33.04,31.71,32.0,-1.0
31.67,31.88,30.31,30.64,1.0
30.65,31.43,30.5,31.15,1.0
31.0,31.73,30.28,31.55,-1.0
31.45,31.68,30.5,31.27,1.0
31.3,32.0,31.09,31.32,-1.0
31.29,31.58,30.5,30.95,1.0
30.8,31.88,30.55,31.42,1.0
31.65,32.3,31.1,32.28,-1.0
32.26,32.85,31.8,31.92,-1.0
31.92,32.35,30.65,30.72,-1.0
31.2,31.31,30.51,30.9,1.0
30.61,30.94,30.52,30.81,1.0
31.14,31.88,30.87,31.4,1.0
31.05,32.4,30.78,32.0,1.0
31.9,33.46,31.71,32.38,1.0
32.73,32.96,32.03,32.77,-1.0
32.9,33.26,31.9,32.33,1.0
32.47,35.56,32.21,35.56,-1.0
35.44,35.44,33.96,34.55,1.0
34.2,34.95,33.93,34.55,-1.0
34.3,35.4,33.41,33.62,1.0
33.8,34.8,33.23,34.41,1.0
34.33,35.18,34.0,34.46,-1.0
34.5,34.98,33.9,34.49,-1.0
34.48,34.48,32.8,33.1,-1.0
33.0,33.35,31.89,32.09,-1.0
32.25,32.37,31.45,32.03,-1.0
32.21,32.21,31.05,31.16,1.0
31.24,31.7,30.98,31.3,0.0
31.3,31.3,31.3,31.3,-1.0
31.8,32.16,30.91,31.09,1.0
31.0,31.96,30.8,31.32,1.0
31.0,32.1,30.88,31.83,1.0
32.22,33.6,32.18,33.14,1.0
33.0,34.1,32.7,33.1,1.0
33.1,34.14,32.8,34.0,0.0
33.89,34.51,33.29,33.89,-1.0
33.9,33.91,31.9,31.96,-1.0
31.9,32.47,31.09,31.52,1.0
31.8,33.88,31.5,33.71,1.0
33.41,34.61,32.91,34.44,1.0
34.0,37.88,33.0,36.96,-1.0
36.3,36.6,34.9,35.86,-1.0
35.5,36.65,35.0,35.25,1.0
36.0,36.78,35.3,36.21,-1.0
36.2,36.25,34.81,35.31,-1.0
35.2,36.08,34.38,34.52,1.0
34.5,34.96,34.04,34.71,1.0
34.6,35.62,34.17,35.3,1.0
35.3,36.51,35.03,36.03,-1.0
36.03,36.26,34.91,34.94,-1.0
34.97,35.17,33.7,33.96,1.0
33.96,34.95,33.85,34.58,1.0
34.81,35.96,34.62,35.4,1.0
36.0,37.96,35.35,37.6,1.0
37.15,38.58,36.6,37.46,1.0
37.4,39.4,37.15,37.99,-1.0
38.17,39.35,36.73,36.92,-1.0
36.9,37.5,34.7,35.31,1.0
36.25,37.29,35.31,37.17,1.0
36.78,39.97,36.78,38.11,-1.0
37.6,39.39,36.79,37.17,-1.0
37.53,37.97,35.85,36.83,1.0
37.0,39.69,36.53,39.36,-1.0
39.34,41.26,38.68,39.17,1.0
39.3,41.0,38.7,40.49,1.0
40.0,41.78,39.88,41.22,1.0
41.55,42.99,40.95,41.84,1.0
41.35,42.28,40.85,41.4,-1.0
40.8,41.18,40.0,40.5,1.0
40.4,41.5,38.31,40.49,-1.0
40.1,40.29,39.28,39.59,-1.0
40.3,41.36,40.08,40.27,1.0
40.54,41.65,39.71,40.79,-1.0
40.79,41.83,39.66,40.07,1.0
39.31,41.0,38.8,40.91,1.0
40.88,43.28,40.61,42.35,1.0
42.0,42.99,41.7,42.03,1.0
41.81,43.15,41.64,42.96,1.0
44.0,45.82,43.3,45.17,-1.0
45.0,45.7,44.46,44.72,-1.0
44.9,45.36,44.0,44.57,-1.0
44.57,45.25,43.68,43.72,-1.0
